"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Semien, Marcus","543760","2022","724","547",0.248,0.243,0.0050000000000000044,0.429,0.411,0.018000000000000016,0.317,0.311,0.006000000000000005
"Freeman, Freddie","518692","2022","708","517",0.325,0.308,0.017000000000000015,0.511,0.559,-0.04800000000000004,0.393,0.406,-0.013000000000000012
"Turner, Trea","607208","2022","708","527",0.298,0.275,0.022999999999999965,0.466,0.446,0.020000000000000018,0.35,0.338,0.011999999999999955
"Lindor, Francisco","596019","2022","706","504",0.27,0.253,0.017000000000000015,0.449,0.439,0.010000000000000009,0.342,0.333,0.009000000000000008
"Guerrero Jr., Vladimir","665489","2022","706","526",0.274,0.276,-0.0020000000000000018,0.48,0.482,-0.0020000000000000018,0.351,0.354,-0.0030000000000000027
"Olson, Matt","621566","2022","699","450",0.24,0.243,-0.0030000000000000027,0.477,0.481,-0.0040000000000000036,0.344,0.347,-0.0030000000000000027
"Bichette, Bo","666182","2022","697","499",0.29,0.271,0.01899999999999996,0.469,0.456,0.012999999999999956,0.347,0.334,0.012999999999999956
"Judge, Aaron","592450","2022","696","400",0.311,0.304,0.007000000000000006,0.686,0.732,-0.04599999999999993,0.458,0.468,-0.010000000000000009
"Swanson, Dansby","621020","2022","696","462",0.277,0.256,0.02100000000000002,0.447,0.479,-0.03199999999999997,0.337,0.342,-0.0050000000000000044
"Riley, Austin","663586","2022","693","451",0.273,0.271,0.0020000000000000018,0.528,0.558,-0.030000000000000027,0.377,0.385,-0.008000000000000007
"Alonso, Pete","624413","2022","685","478",0.271,0.258,0.013000000000000012,0.518,0.506,0.01200000000000001,0.366,0.357,0.009000000000000008
"Ramírez, José","608070","2022","685","528",0.28,0.254,0.026000000000000023,0.514,0.427,0.08700000000000002,0.363,0.325,0.03799999999999998
"Cronenworth, Jake","630105","2022","684","464",0.239,0.218,0.02099999999999999,0.39,0.366,0.02400000000000002,0.318,0.304,0.014000000000000012
"Abreu, José","547989","2022","679","495",0.304,0.292,0.01200000000000001,0.446,0.496,-0.04999999999999999,0.361,0.374,-0.013000000000000012
"Nimmo, Brandon","607043","2022","673","470",0.274,0.254,0.020000000000000018,0.433,0.405,0.02799999999999997,0.353,0.337,0.01599999999999996
"Hoskins, Rhys","656555","2022","672","424",0.246,0.238,0.008000000000000007,0.462,0.465,-0.0030000000000000027,0.345,0.342,0.002999999999999947
"Mullins, Cedric","656775","2022","672","488",0.258,0.233,0.024999999999999994,0.403,0.363,0.040000000000000036,0.315,0.292,0.02300000000000002
"Yelich, Christian","592885","2022","671","416",0.252,0.253,-0.0010000000000000009,0.383,0.415,-0.03199999999999997,0.328,0.34,-0.01200000000000001
"Rosario, Amed","642708","2022","670","530",0.283,0.274,0.008999999999999952,0.403,0.402,0.0010000000000000009,0.311,0.311,0
"Schwarber, Kyle","656941","2022","669","379",0.218,0.236,-0.017999999999999988,0.504,0.561,-0.05700000000000005,0.355,0.381,-0.026000000000000023
"Walker, Christian","572233","2022","667","459",0.242,0.256,-0.014000000000000012,0.477,0.497,-0.020000000000000018,0.346,0.362,-0.016000000000000014
"Ohtani, Shohei","660271","2022","666","428",0.273,0.274,-0.0010000000000000009,0.519,0.569,-0.04999999999999993,0.37,0.387,-0.017000000000000015
"Soto, Juan","665742","2022","664","428",0.242,0.263,-0.02100000000000002,0.452,0.516,-0.064,0.376,0.403,-0.027000000000000024
"Seager, Corey","608369","2022","663","495",0.245,0.278,-0.03300000000000003,0.455,0.524,-0.069,0.331,0.373,-0.04199999999999998
"Profar, Jurickson","595777","2022","658","478",0.243,0.25,-0.007000000000000006,0.391,0.371,0.020000000000000018,0.32,0.318,0.0020000000000000018
"García, Adolis","666969","2022","657","428",0.25,0.242,0.008000000000000007,0.456,0.467,-0.01100000000000001,0.324,0.326,-0.0020000000000000018
"Bregman, Alex","608324","2022","656","481",0.259,0.256,0.0030000000000000027,0.454,0.442,0.01200000000000001,0.358,0.357,0.0010000000000000009
"Goldschmidt, Paul","502671","2022","651","424",0.317,0.262,0.05499999999999999,0.578,0.503,0.07499999999999996,0.419,0.372,0.046999999999999986
"Santander, Anthony","623993","2022","647","457",0.24,0.255,-0.015000000000000013,0.455,0.492,-0.03699999999999998,0.336,0.356,-0.019999999999999962
"Bell, Josh","605137","2022","647","456",0.266,0.267,-0.0010000000000000009,0.422,0.428,-0.006000000000000005,0.344,0.347,-0.0030000000000000027
"Lowe, Nathaniel","663993","2022","645","446",0.302,0.273,0.02899999999999997,0.492,0.47,0.02200000000000002,0.368,0.346,0.02200000000000002
"Arozarena, Randy","668227","2022","645","432",0.263,0.228,0.035,0.445,0.386,0.059,0.336,0.299,0.03700000000000003
"Verdugo, Alex","657077","2022","644","513",0.28,0.275,0.0050000000000000044,0.405,0.443,-0.03799999999999998,0.319,0.332,-0.013000000000000012
"Machado, Manny","592518","2022","644","447",0.298,0.263,0.034999999999999976,0.531,0.469,0.062000000000000055,0.382,0.345,0.03700000000000003
"Happ, Ian","664023","2022","641","428",0.271,0.239,0.03200000000000003,0.44,0.396,0.043999999999999984,0.339,0.312,0.027000000000000024
"Betts, Mookie","605141","2022","639","472",0.269,0.252,0.017000000000000015,0.533,0.484,0.049000000000000044,0.373,0.348,0.025000000000000022
"Kwan, Steven","680757","2022","638","509",0.298,0.269,0.02899999999999997,0.4,0.35,0.050000000000000044,0.341,0.315,0.026000000000000023
"Witt Jr., Bobby","677951","2022","632","461",0.254,0.252,0.0020000000000000018,0.428,0.444,-0.016000000000000014,0.311,0.318,-0.007000000000000006
"Cron, C.J.","543068","2022","632","416",0.257,0.239,0.018000000000000016,0.468,0.441,0.027000000000000024,0.335,0.319,0.016000000000000014
