"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,19.508602643393168,,,,,19.508602643393168,16.95465411701667,4.908308585801525,-2.354360059425032,2297,2297,0,0,0,0,0,0,0
"Doyle, Brenton",686668,18.658368214649848,18.658368214649848,12.132497525581394,6.525870689068452,,,,,,3071,0,0,0,0,0,0,3071,0
"Hedges, Austin",595978,16.31732972095469,,,,,16.31732972095469,14.47586317827748,-0.23442866939994794,2.0758952120771554,1712,1701,0,0,0,0,0,0,0
"Swanson, Dansby",621020,15.775697721028063,15.775697721028063,14.810130151118317,0.008838417036040772,0.9567291528737087,,,,,3838,0,0,0,0,3838,0,0,0
"Giménez, Andrés",665926,15.444661533045867,15.444661533045867,13.39529935652397,0.3118729630211777,1.7374892135007163,,,,,3924,0,0,3924,0,0,0,0,0
"Heim, Jonah",641680,14.982709933437071,,,,,14.982709933437071,11.883741333858389,3.165225390728855,-0.0662567911501752,2980,2980,0,0,0,0,0,0,0
"Estrada, Thairo",642731,14.828030562934957,14.828030562934957,13.79542328793021,-0.13970426063776425,1.1723115356425096,,,,,3104,0,0,2571,0,477,56,0,0
"Hayes, Ke'Bryan",663647,13.77063747963432,13.77063747963432,13.206897894835546,-0.20147380025237546,0.7652133850511488,,,,,3113,0,0,0,3113,0,0,0,0
"Tovar, Ezequiel",678662,13.342961393232619,13.342961393232619,11.483564500381624,0.5141587821049762,1.3452381107460223,,,,,3981,0,0,0,0,3981,0,0,0
"Semien, Marcus",543760,12.532512141872871,12.532512141872871,10.482169652100989,0.16375929561357863,1.8865831941583076,,,,,4219,0,0,4219,0,0,0,0,0
"Garcia, Maikel",672580,12.0575173081509,12.0575173081509,10.989202783523577,0.04350800430224401,1.0248065203250794,,,,,2945,0,0,87,2579,279,0,0,0
"Adames, Willy",642715,11.903291269701489,11.903291269701489,11.69426578485326,0.0838931110242265,0.12513237382400583,,,,,3846,0,0,0,0,3846,0,0,0
"Tatis Jr., Fernando",665487,11.528866284808727,11.528866284808727,7.470642974463011,4.058223310345715,,,,,,3619,0,0,3,0,0,0,90,3526
"Robert Jr., Luis",673357,11.337262225439513,11.337262225439513,10.690090246706411,0.6471719787330952,,,,,,3623,0,0,0,0,0,0,3623,0
"Alvarez, Francisco",682626,11.147734331943282,,,,,11.147734331943282,14.009656237376628,-2.9172402842808203,0.05531837884746933,2621,2621,0,0,0,0,0,0,0
"Varsho, Daulton",662139,11.032696746839463,11.032696746839463,8.513721904553389,2.51897484228607,,,,,,3840,0,0,0,0,0,2453,1387,0
"Walker, Christian",572233,11.0045675161632,11.0045675161632,9.00279377737365,,2.0017737387895553,,,,,3928,0,3928,0,0,0,0,0,0
"Siri, Jose",642350,10.893416537226528,10.893416537226528,8.799265287945206,2.09415124928132,,,,,,2504,0,0,0,0,0,0,2504,0
