"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Angels","LAA","2026","1212","747",0.238,0.23,0.00799999999999998,0.399,0.402,-0.0030000000000000027,0.331,0.326,0.0050000000000000044
"Cubs","CHC","2026","1199","793",0.261,0.248,0.013000000000000012,0.424,0.41,0.014000000000000012,0.347,0.332,0.014999999999999958
"Pirates","PIT","2026","1177","760",0.245,0.246,-0.0010000000000000009,0.378,0.397,-0.019000000000000017,0.317,0.32,-0.0030000000000000027
"Mariners","SEA","2026","1176","758",0.235,0.249,-0.014000000000000012,0.382,0.427,-0.044999999999999984,0.319,0.338,-0.019000000000000017
"Nationals","WSH","2026","1176","793",0.239,0.251,-0.01200000000000001,0.387,0.414,-0.02699999999999997,0.316,0.327,-0.01100000000000001
"Astros","HOU","2026","1168","798",0.26,0.258,0.0020000000000000018,0.44,0.432,0.008000000000000007,0.346,0.339,0.006999999999999951
"Dodgers","LAD","2026","1158","789",0.274,0.274,0,0.457,0.475,-0.01799999999999996,0.355,0.361,-0.006000000000000005
"Braves","ATL","2026","1158","827",0.274,0.264,0.010000000000000009,0.455,0.462,-0.007000000000000006,0.351,0.347,0.0040000000000000036
"Twins","MIN","2026","1157","747",0.229,0.233,-0.0040000000000000036,0.38,0.386,-0.006000000000000005,0.319,0.321,-0.0020000000000000018
"White Sox","CWS","2026","1147","726",0.225,0.235,-0.009999999999999981,0.383,0.4,-0.017000000000000015,0.314,0.321,-0.007000000000000006
"Guardians","CLE","2026","1145","775",0.227,0.243,-0.015999999999999986,0.373,0.388,-0.015000000000000013,0.309,0.318,-0.009000000000000008
"Yankees","NYY","2026","1137","720",0.231,0.246,-0.014999999999999986,0.433,0.459,-0.026000000000000023,0.336,0.35,-0.013999999999999957
"Tigers","DET","2026","1133","764",0.251,0.266,-0.015000000000000013,0.414,0.467,-0.05300000000000005,0.333,0.354,-0.020999999999999963
"Marlins","MIA","2026","1131","771",0.252,0.243,0.009000000000000008,0.381,0.366,0.015000000000000013,0.321,0.31,0.01100000000000001
"Rangers","TEX","2026","1128","733",0.235,0.237,-0.0020000000000000018,0.379,0.382,-0.0030000000000000027,0.31,0.309,0.0010000000000000009
"Red Sox","BOS","2026","1126","756",0.231,0.236,-0.004999999999999977,0.35,0.368,-0.018000000000000016,0.3,0.307,-0.007000000000000006
"Rays","TB","2026","1125","797",0.253,0.245,0.008000000000000007,0.385,0.368,0.017000000000000015,0.322,0.309,0.013000000000000012
"Cardinals","STL","2026","1124","749",0.237,0.238,-0.0010000000000000009,0.398,0.414,-0.01599999999999996,0.322,0.326,-0.0040000000000000036
"Rockies","COL","2026","1123","738",0.249,0.242,0.007000000000000006,0.393,0.388,0.0050000000000000044,0.318,0.308,0.010000000000000009
"Athletics","ATH","2026","1116","740",0.24,0.256,-0.016000000000000014,0.387,0.415,-0.02799999999999997,0.315,0.328,-0.013000000000000012
"Phillies","PHI","2026","1099","753",0.223,0.239,-0.015999999999999986,0.364,0.384,-0.020000000000000018,0.299,0.311,-0.01200000000000001
"Orioles","BAL","2026","1097","712",0.24,0.247,-0.007000000000000006,0.401,0.413,-0.011999999999999955,0.324,0.328,-0.0040000000000000036
"Reds","CIN","2026","1097","698",0.218,0.239,-0.02099999999999999,0.384,0.426,-0.04199999999999998,0.312,0.334,-0.02200000000000002
"Royals","KC","2026","1094","731",0.24,0.241,-0.0010000000000000009,0.39,0.389,0.0010000000000000009,0.318,0.318,0
"Padres","SD","2026","1090","742",0.238,0.251,-0.013000000000000012,0.386,0.412,-0.025999999999999968,0.312,0.326,-0.014000000000000012
"Brewers","MIL","2026","1086","717",0.238,0.234,0.003999999999999976,0.356,0.374,-0.018000000000000016,0.313,0.314,-0.0010000000000000009
"Blue Jays","TOR","2026","1079","784",0.248,0.249,-0.0010000000000000009,0.375,0.375,0,0.306,0.303,0.0030000000000000027
"Mets","NYM","2026","1072","753",0.225,0.243,-0.017999999999999988,0.338,0.39,-0.05199999999999999,0.283,0.307,-0.02400000000000002
"Giants","SF","2026","1044","755",0.245,0.249,-0.0040000000000000036,0.365,0.379,-0.014000000000000012,0.291,0.297,-0.006000000000000005
"D-backs","AZ","2026","1026","728",0.25,0.251,-0.0010000000000000009,0.417,0.392,0.024999999999999967,0.321,0.31,0.01100000000000001
