name,id,total_runs,inf_of_runs,range_runs,arm_runs,dp_runs,catching_runs,framing_runs,throwing_runs,blocking_runs,tot_plays
Cubs,112,16.37513992736207,18.280772345904705,15.048439278362975,2.3629199452875502,0.8694131222541585,-1.9056324185426312,-0.9023000037539636,-0.7748990080937811,-0.22843340669488463,5986
Red Sox,111,15.71906916276421,11.792666277691914,11.032202702001236,1.3403486175871109,-0.5798850418964361,3.9264028850722896,2.0744239047536044,0.5390865975248011,1.3128923827938863,5726
Dodgers,119,13.00583150153069,14.674238830135302,10.801216475591271,2.7450367950257357,1.1279855595182906,-1.668407328604618,-1.895287014307044,0.14502905894511053,0.0818506267573145,5581
Blue Jays,141,12.202966549425453,2.9507349966528857,4.104728576118555,-0.28492847621133177,-0.8690651032543435,9.252231552772576,6.906715765566134,1.268073039516791,1.0774427476896544,5865
Cardinals,138,11.830687575474265,9.751896172184225,6.759552919003964,-0.6613412329516926,3.6536844861319544,2.078791403290033,1.6609775115486076,0.7889682897821663,-0.3711543980407419,6089
Braves,144,10.275639936151372,12.86021633791728,8.798333745114196,2.182624350523723,1.879258242279349,-2.584576401765912,-0.10137637102178831,-2.664850748636933,0.1816507178928093,5792
Royals,118,9.241080399503778,8.706543981662337,6.207039473888844,2.0787045560229123,0.4207999517505669,0.5345364178414362,0.34009148039937853,1.810652754879497,-1.616207817437438,6056
Padres,135,8.87855324069569,5.842600643996531,3.390363445718134,1.5727891245172765,0.879448073761117,3.0359525966991643,0.46909149137848033,1.955349053881304,0.6115120514393804,5927
Yankees,147,7.829688227023772,2.9774841089767667,0.8051969501274648,2.8744363352253832,-0.7021491763760864,4.85220411804701,4.137731567536711,-0.29170493151601573,1.0061774820263134,5860
Giants,137,7.4786760705231154,1.0924509782051026,0.6825703613074321,-1.0665978441092294,1.4764784610069002,6.386225092318011,4.75026689219219,1.8787992781010256,-0.2428410779751986,5879
D-backs,109,3.9814293870178226,1.1074283957043274,4.063748236111866,-2.08723405458632,-0.8690857858212211,2.874000991313497,1.0843548655592528,0.8314763221949402,0.9581698035593048,5714
Guardians,114,2.1771640537115484,1.550347128420417,-0.5329282069926393,1.2594876279338385,0.8237877074792177,0.6268169252911312,2.7079564609081914,-1.3109962716856045,-0.7701432639314554,6163
White Sox,145,1.292038347793229,3.916193377521289,0.8680699999160009,0.6509088158545666,2.397214561750717,-2.6241550297280556,-0.3470816033888849,-0.6335511670479,-1.6435222592912715,6064
Brewers,158,-0.4901940996454161,-1.5321719549464383,-0.17168027669829258,-2.444653686578678,1.084162008330527,1.0419778553010262,-0.11728027317280726,2.171717099422175,-1.0124589709483405,5534
Astros,117,-0.6923095064315988,-0.28541405489211846,-1.8476233352133815,-0.12418810020426135,1.6863973805255177,-0.4068954515394822,-0.2414427212331829,1.1922555507244852,-1.357708281030785,6437
Pirates,134,-0.8706348055739344,-2.4331506961798097,-0.14228575118827214,-0.9254426600107366,-1.365422284980806,1.5625158906058836,1.259533788055273,1.0550810638452837,-0.7520989612946714,6027
Reds,113,-1.229773199237001,7.0076171379712e-4,4.197383857433139,-4.630825152934992,0.4341420572156475,-1.2304739609507969,-2.6564193153842797,-0.5823163178978109,2.008261672331293,6214
Phillies,143,-1.4943347648881682,-9.735267594937538,-8.416574320765,0.49191037922687425,-1.8106036533994048,8.24093283004935,5.666486369865523,2.2455284645680247,0.32891799561579915,6280
Twins,142,-1.835741904792561,-3.1155025745417007,-2.636464946952716,-0.1881488403093828,-0.2908887872796123,1.2797606697491444,3.2794650642784413,-2.344379042737478,0.3446746482081793,6087
Rockies,115,-2.1584602396315575,-0.95462704570404,1.5027209560796426,-3.2014964022421184,0.7441484004584304,-1.2038331939275182,-0.12337438190795738,-0.5891506140195315,-0.49130819800002934,6092
Athletics,133,-2.335993171020305,-1.7922583751775694,-0.04156608708744669,-0.332974777925711,-1.4177175101644162,-0.5437347958427328,-1.645838706065414,0.08661542569063846,1.0154884845320442,6099
Mets,121,-2.5860285581095073,-3.744796585334392,-2.8702671615574853,-0.2699605570734582,-0.6045688667034517,1.1587680272248877,0.14622180976569427,1.5675323450607943,-0.5549861276016005,5889
Marlins,146,-3.4720537827582647,1.3558788153329326,2.2469013845506853,-1.0033549664510493,0.11233239723329036,-4.827932598091204,-2.209763216516612,-0.8498862456246963,-1.7682831359498965,5928
Rangers,140,-4.7460610083659525,-1.5367168477549489,-2.0347901261221333,0.8927199592536478,-0.3946466808864631,-3.209344160611002,-3.319415540182088,-0.05990750524832861,0.16997888481941503,5819
Nationals,120,-4.778922568404832,-5.732590264749538,-7.27017971810609,1.6891817817236618,-0.1515923283671243,0.9536676963447096,3.768148948750888,-0.9825395405410596,-1.8319417118651145,6364
Orioles,110,-8.311525589064361,-9.93732126750186,-7.214946167042849,-1.3956563249446885,-1.3267187755143242,1.6257956784374985,1.9940677632318584,0.676818706014289,-1.0450907908086464,6239
Rays,139,-10.681642977333889,-9.418875862699654,-8.49872231012096,-0.2950545738852602,-0.6250989786934201,-1.2627671146342363,1.4070825416038166,-2.0326717399848984,-0.6371779162531552,5597
Tigers,116,-11.271893162563671,-16.723891870345497,-16.516976649504283,-2.1614732750427468,1.954558054201529,5.4519987077818115,3.1942451186714957,0.8114975418311662,1.446256047279153,5823
Angels,108,-11.780588371751431,-8.31561243770993,-7.618555364086936,-1.8575023367857344,1.1604452631627309,-3.464975934041501,-3.9555356740644623,1.1000611463747207,-0.6095014063517626,6417
Mariners,136,-13.388724917056395,-15.899747214355168,-14.25911830990753,-0.5848380349113743,-1.055790869536278,2.5110222972987652,-0.13967807867322993,0.972053889911584,1.67864648606041,5867
