"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","tot_plays"
"Cubs",112,16.313218126032833,19.02778442339483,15.659724480919499,2.2447110786570414,1.1233488638182818,-2.7145662973619964,-1.6545832994847536,-0.9262549538352937,-0.13372804404194838,6256
"Red Sox",111,16.25001328257269,13.376802359876027,12.43671633406568,1.5046953796644358,-0.5646093538540924,2.8732109226966718,0.9508428340587054,0.5440878780423037,1.3782802105956642,6010
"Blue Jays",141,14.387455185981683,4.5376857961761745,4.671530926533663,0.5426544897475112,-0.6764996201050018,9.84976938980552,7.1743594499632435,1.7054398687449095,0.9699700710973569,6378
"Dodgers",119,12.362345801401927,16.008981621879915,11.623488639291423,2.572653071803179,1.812839910785295,-3.6466358204780005,-3.467602034457583,-0.41154114593132046,0.2325073599109004,6026
"Cardinals",138,10.559531192034076,10.124780323741723,7.188599053376901,-0.7130899432756915,3.6492712136405188,0.43475086829235354,0.3838510866053286,0.46668856792429736,-0.41578878623727245,6421
"Braves",144,9.771806037826352,13.334129597957817,9.789231440795826,2.2064130115136993,1.3384851456482838,-3.5623235601314605,-1.1399057252016302,-2.6642355064568672,0.24181767152703454,6071
"Yankees",147,7.484002005362239,4.415925572233611,2.0404873465461253,2.7987521236562816,-0.4233138979687925,3.068076433128631,3.1917121063195424,-0.9018593223266375,0.7782236491357262,6277
"Padres",135,7.074416085348218,4.732799386856806,2.9340605199455263,1.396941063286985,0.4017978036242963,2.341616698491412,-0.24845297744444517,1.944088742185412,0.6459809337504457,6206
"D-backs",109,6.109592877722333,3.2761466323084374,6.190734354156303,-2.176721756201651,-0.7378659656462216,2.8334462454138967,0.3476103689398027,1.3736317201741797,1.1122041562999145,6103
"Giants",137,4.680197135093175,-0.3275868502742313,-0.7595318516516083,-1.0741242865786447,1.5060692879560142,5.007783985367408,3.631767635259943,1.6312459277564104,-0.25522957764894705,6386
"Royals",118,4.596415725871354,4.400608054329754,3.2400148197889393,1.7134024607021738,-0.5528092261613615,0.19580767154160195,-0.6945938559494381,2.2273958820087834,-1.3369943545177452,6401
"White Sox",145,0.9642441405143478,4.300305706178322,1.361339036799009,0.3845322614852725,2.554434407894039,-3.3360615656639743,-1.4274396389481963,-0.19132962224094852,-1.7172923044748298,6367
"Guardians",114,0.8716632312471496,1.5319724781179023,-0.4492369187359824,0.9712197234317385,1.0099896734221445,-0.6603092468707539,1.6948555795292086,-1.3453601663789405,-1.009804660021021,6671
"Reds",113,-0.17719033191460426,1.3061576465165663,4.923763843347507,-4.715680506723685,1.0980743098927415,-1.483347978431176,-3.5489764690069125,-0.08468582297017224,2.1503143135459077,6526
"Astros",117,-0.45142862691134256,0.6907117710983536,-1.6679330254754432,0.6737350224276728,1.684909774146119,-1.1421403980096925,-0.8273744222846258,1.1641178495034759,-1.4788838252285434,6896
"Phillies",143,-1.647038748104615,-9.509020905099447,-7.378991257241683,0.5390185473947187,-2.6690481952524863,7.861982156994826,5.244312177333419,2.2455284645680247,0.3721415150933812,6522
"Marlins",146,-2.370771443602787,2.4130109457253655,3.337353179607372,-1.382176225223434,0.4578339913414271,-4.783782389328147,-2.6334850251287554,-0.35364598966269767,-1.7966513745366945,6200
"Athletics",133,-2.849505888093173,-1.591871784614705,-0.25891478631090376,-0.1706788668104407,-1.1622781314933617,-1.2576341034784635,-2.8183607745566923,0.47116484833497935,1.0895618227432466,6420
"Rockies",115,-2.868026513144829,-1.641687199970989,-0.02176337176735812,-3.211669105723326,1.5917452775196907,-1.2263393131738367,-0.712412325651683,-0.05267113422822389,-0.4612558532939326,6375
"Twins",142,-2.9956150197244886,-2.857042749505518,-1.9384863538823773,-0.5554416216519861,-0.36311477397115527,-0.13857227021897048,2.3160393157395727,-2.665291339405573,0.21067975344702958,6339
"Pirates",134,-3.188985254221614,-3.300719355028697,-1.3171996205765122,-0.6092699361824266,-1.3742497982697595,0.1117341008070817,-0.2741877207761813,1.0553436066711155,-0.6694217850878543,6358
"Mets",121,-4.671146348273196,-5.176640595766574,-4.285947793083104,-0.561544754742875,-0.32914804794060254,0.5054942474933812,-0.5170428025387683,1.5675323450607945,-0.5449952950286444,6192
"Rangers",140,-5.246666208237327,-1.2390507350883035,-0.5206271769217539,0.3119354937112241,-1.0303590518777859,-4.007615473149007,-3.874329531089275,-0.15222602758067638,0.018940085520943433,6174
"Brewers",158,-5.9251911687086345,-5.535675619167309,-3.8610079387015337,-2.777597956100043,1.102930275634267,-0.38951554954133,-1.527931978231913,2.515065350219529,-1.3766489215289484,5823
"Nationals",120,-7.361358608991463,-6.748643463813554,-9.247102657241822,2.3425825615135287,0.15587663191471932,-0.6127151451779003,2.7048497743612376,-1.626665890252282,-1.6908990292868544,6690
"Rays",139,-9.067209848471753,-7.814969657162296,-6.6524896932887305,-0.4915293796664163,-0.6709505842071497,-1.2522401913094685,1.034194544309162,-1.5647075034715399,-0.7217272321470896,6053
"Orioles",110,-9.687189645964615,-11.04908716946806,-8.915214080645228,-0.8498978728855295,-1.2839752159372977,1.3618975235034436,1.4875244888285901,0.8848937115479443,-1.010520676873091,6684
"Angels",108,-11.616031361835569,-8.154640718134353,-8.289794420129276,-1.0252521515140143,1.160405853508926,-3.4613906437012063,-3.8081171530660614,1.1227016471808395,-0.7759751378159864,6882
"Tigers",116,-12.399031705238277,-17.653682552653006,-17.00248871215382,-2.679726440375928,2.028532599876725,5.254650847414737,2.642277514344061,1.2599569466305276,1.3524163864401495,6151
"Mariners",136,-13.803058516778718,-15.44515576882478,-13.516883694883974,-0.78675208365352,-1.14151999028731,1.6420972520460695,-1.1104784856963323,0.8104714784827549,1.942104259259646,6302
