"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","1341","933",0.263,0.264,-0.0010000000000000009,0.439,0.468,-0.029000000000000026,0.347,0.356,-0.009000000000000008
"Astros","HOU","2026","1307","812",0.265,0.239,0.026000000000000023,0.449,0.387,0.062,0.369,0.335,0.033999999999999975
"Angels","LAA","2026","1279","819",0.239,0.235,0.0040000000000000036,0.38,0.382,-0.0020000000000000018,0.326,0.321,0.0050000000000000044
"Pirates","PIT","2026","1277","823",0.221,0.233,-0.01200000000000001,0.346,0.364,-0.018000000000000016,0.296,0.305,-0.009000000000000008
"Phillies","PHI","2026","1268","850",0.278,0.243,0.03500000000000003,0.419,0.38,0.03899999999999998,0.338,0.306,0.03200000000000003
"Rockies","COL","2026","1265","887",0.263,0.264,-0.0010000000000000009,0.435,0.444,-0.009000000000000008,0.337,0.338,-0.0010000000000000009
"Reds","CIN","2026","1264","851",0.25,0.259,-0.009000000000000008,0.408,0.435,-0.027000000000000024,0.338,0.35,-0.011999999999999955
"Athletics","ATH","2026","1262","843",0.247,0.239,0.008000000000000007,0.405,0.395,0.010000000000000009,0.334,0.327,0.007000000000000006
"Cardinals","STL","2026","1259","896",0.26,0.273,-0.013000000000000012,0.407,0.45,-0.04300000000000004,0.335,0.352,-0.01699999999999996
"Orioles","BAL","2026","1251","854",0.267,0.252,0.015000000000000013,0.434,0.405,0.02899999999999997,0.341,0.322,0.019000000000000017
"Twins","MIN","2026","1251","863",0.251,0.248,0.0030000000000000027,0.395,0.398,-0.0030000000000000027,0.326,0.324,0.0020000000000000018
"White Sox","CWS","2026","1248","838",0.243,0.255,-0.01200000000000001,0.402,0.407,-0.004999999999999949,0.33,0.336,-0.006000000000000005
"Mariners","SEA","2026","1228","860",0.261,0.255,0.006000000000000005,0.407,0.415,-0.008000000000000007,0.323,0.32,0.0030000000000000027
"Guardians","CLE","2026","1223","794",0.228,0.236,-0.00799999999999998,0.383,0.4,-0.017000000000000015,0.309,0.315,-0.006000000000000005
"Mets","NYM","2026","1220","794",0.233,0.242,-0.00899999999999998,0.367,0.368,-0.0010000000000000009,0.304,0.308,-0.0040000000000000036
"Tigers","DET","2026","1219","815",0.241,0.239,0.0020000000000000018,0.382,0.375,0.007000000000000006,0.316,0.311,0.0050000000000000044
"Braves","ATL","2026","1217","816",0.214,0.229,-0.015000000000000013,0.346,0.372,-0.026000000000000023,0.29,0.304,-0.014000000000000012
"Blue Jays","TOR","2026","1215","793",0.245,0.24,0.0050000000000000044,0.385,0.385,0,0.312,0.308,0.0040000000000000036
"Royals","KC","2026","1214","789",0.246,0.253,-0.007000000000000006,0.431,0.45,-0.019000000000000017,0.342,0.346,-0.003999999999999948
"Marlins","MIA","2026","1205","798",0.224,0.232,-0.008000000000000007,0.353,0.387,-0.03400000000000003,0.301,0.313,-0.01200000000000001
"Red Sox","BOS","2026","1197","825",0.248,0.263,-0.015000000000000013,0.412,0.461,-0.049000000000000044,0.327,0.348,-0.020999999999999963
"Giants","SF","2026","1193","802",0.235,0.242,-0.007000000000000006,0.384,0.392,-0.008000000000000007,0.314,0.317,-0.0030000000000000027
"D-backs","AZ","2026","1192","848",0.259,0.265,-0.006000000000000005,0.435,0.46,-0.025000000000000022,0.338,0.347,-0.008999999999999952
"Cubs","CHC","2026","1181","811",0.231,0.243,-0.011999999999999983,0.379,0.412,-0.032999999999999974,0.303,0.318,-0.015000000000000013
"Padres","SD","2026","1181","787",0.244,0.234,0.009999999999999981,0.384,0.374,0.010000000000000009,0.32,0.308,0.01200000000000001
"Rangers","TEX","2026","1180","788",0.228,0.242,-0.013999999999999985,0.368,0.409,-0.04099999999999998,0.301,0.318,-0.017000000000000015
"Rays","TB","2026","1177","817",0.223,0.254,-0.031,0.38,0.436,-0.055999999999999994,0.299,0.331,-0.03200000000000003
"Yankees","NYY","2026","1161","781",0.219,0.23,-0.01100000000000001,0.34,0.363,-0.022999999999999965,0.283,0.292,-0.009000000000000008
"Brewers","MIL","2026","1157","736",0.23,0.236,-0.005999999999999978,0.361,0.368,-0.007000000000000006,0.305,0.307,-0.0020000000000000018
"Dodgers","LAD","2026","1154","755",0.214,0.233,-0.019000000000000017,0.353,0.375,-0.02200000000000002,0.289,0.302,-0.013000000000000012
