year,team,team_id,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
2026,Nationals,WSH,1606,1126,0.256,0.257,-0.0010000000000000009,0.43,0.448,-0.018000000000000016,0.34,0.346,-0.00599999999999995
2026,Astros,HOU,1580,994,0.263,0.244,0.019000000000000017,0.437,0.399,0.03799999999999998,0.361,0.338,0.022999999999999965
2026,Reds,CIN,1580,1070,0.254,0.264,-0.010000000000000007,0.42,0.446,-0.026000000000000023,0.345,0.356,-0.01100000000000001
2026,Phillies,PHI,1576,1049,0.272,0.241,0.031000000000000028,0.414,0.377,0.03699999999999998,0.334,0.304,0.030000000000000027
2026,Orioles,BAL,1567,1072,0.268,0.254,0.014000000000000012,0.443,0.413,0.030000000000000027,0.347,0.327,0.01999999999999996
2026,Angels,LAA,1563,1010,0.245,0.24,0.0050000000000000044,0.384,0.389,-0.0050000000000000044,0.327,0.324,0.0030000000000000027
2026,Rockies,COL,1549,1091,0.269,0.265,0.0040000000000000036,0.453,0.451,0.0020000000000000018,0.346,0.341,0.004999999999999949
2026,Twins,MIN,1531,1055,0.25,0.25,0,0.407,0.406,9.999999999999454e-4,0.331,0.329,0.0020000000000000018
2026,Athletics,ATH,1530,1033,0.252,0.24,0.01200000000000001,0.416,0.395,0.020999999999999963,0.337,0.324,0.013000000000000012
2026,Guardians,CLE,1526,996,0.234,0.236,-0.001999999999999974,0.396,0.406,-0.010000000000000007,0.315,0.316,-0.0010000000000000009
2026,Pirates,PIT,1525,996,0.221,0.236,-0.014999999999999986,0.346,0.367,-0.02100000000000002,0.295,0.306,-0.01100000000000001
2026,Cardinals,STL,1508,1064,0.254,0.27,-0.016000000000000014,0.391,0.445,-0.05399999999999999,0.327,0.348,-0.020999999999999963
2026,Marlins,MIA,1506,1005,0.225,0.237,-0.011999999999999985,0.358,0.392,-0.03400000000000003,0.302,0.316,-0.014000000000000012
2026,Royals,KC,1505,988,0.235,0.246,-0.01100000000000001,0.401,0.422,-0.020999999999999963,0.325,0.333,-0.008000000000000007
2026,White Sox,CWS,1495,1001,0.241,0.251,-0.010000000000000007,0.402,0.406,-0.0040000000000000036,0.328,0.332,-0.0040000000000000036
2026,Mariners,SEA,1485,1027,0.256,0.254,0.0020000000000000018,0.406,0.424,-0.01799999999999996,0.32,0.323,-0.0030000000000000027
2026,Mets,NYM,1484,965,0.232,0.239,-0.0069999999999999785,0.361,0.363,-0.0020000000000000018,0.302,0.304,-0.0020000000000000018
2026,Cubs,CHC,1483,1015,0.227,0.244,-0.016999999999999987,0.377,0.414,-0.03699999999999998,0.302,0.321,-0.019000000000000017
2026,Tigers,DET,1480,992,0.24,0.24,0,0.38,0.376,0.0040000000000000036,0.314,0.311,0.0030000000000000027
2026,Yankees,NYY,1466,984,0.221,0.233,-0.01200000000000001,0.336,0.362,-0.025999999999999968,0.285,0.298,-0.013000000000000012
2026,Giants,SF,1466,994,0.242,0.246,-0.0040000000000000036,0.391,0.39,0.0010000000000000009,0.319,0.317,0.0020000000000000018
2026,Braves,ATL,1464,963,0.214,0.227,-0.013000000000000012,0.351,0.372,-0.02100000000000002,0.292,0.303,-0.01100000000000001
2026,Red Sox,BOS,1461,1001,0.244,0.258,-0.014000000000000012,0.397,0.442,-0.044999999999999984,0.32,0.34,-0.020000000000000014
2026,Padres,SD,1460,968,0.238,0.228,0.00999999999999998,0.375,0.367,0.008000000000000007,0.311,0.3,0.01100000000000001
2026,Blue Jays,TOR,1457,970,0.248,0.245,0.0030000000000000027,0.378,0.384,-0.006000000000000005,0.31,0.308,0.0020000000000000018
2026,D-backs,AZ,1441,1016,0.246,0.259,-0.013000000000000012,0.419,0.46,-0.04100000000000003,0.326,0.343,-0.017000000000000015
2026,Rangers,TEX,1440,965,0.233,0.245,-0.011999999999999985,0.378,0.413,-0.034999999999999976,0.307,0.322,-0.015000000000000012
2026,Rays,TB,1422,999,0.219,0.251,-0.032,0.363,0.424,-0.061,0.288,0.322,-0.03400000000000003
2026,Dodgers,LAD,1399,922,0.215,0.236,-0.02099999999999999,0.345,0.383,-0.038000000000000034,0.285,0.304,-0.019000000000000017
2026,Brewers,MIL,1371,868,0.227,0.231,-0.0040000000000000036,0.35,0.356,-0.006000000000000005,0.299,0.299,0
