"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Alcantara, Sandy","645261","2026","323","245",0.267,0.256,0.01100000000000001,0.419,0.38,0.03899999999999998,0.331,0.309,0.02200000000000002,"4.66","3.79","0.869"
"Sánchez, Cristopher","650911","2026","323","211",0.24,0.224,0.015999999999999986,0.319,0.356,-0.03699999999999998,0.269,0.272,-0.0030000000000000027,"1.48","2.90","-1.425"
"Williams, Gavin","668909","2026","303","189",0.213,0.238,-0.024999999999999994,0.372,0.428,-0.055999999999999994,0.291,0.319,-0.028000000000000025,"3.07","4.07","-1.004"
"Wacha, Michael","608379","2026","302","208",0.214,0.238,-0.023999999999999994,0.373,0.404,-0.031000000000000028,0.296,0.314,-0.018000000000000016,"3.23","3.93","-0.704"
"Kirby, George","669923","2026","300","222",0.261,0.25,0.01100000000000001,0.379,0.371,0.008000000000000007,0.306,0.294,0.01200000000000001,"3.77","3.41","0.36"
"Lugo, Seth","607625","2026","299","215",0.269,0.277,-0.008000000000000007,0.395,0.469,-0.07399999999999995,0.321,0.348,-0.02699999999999997,"3.55","4.95","-1.401"
"Ashcraft, Braxton","677952","2026","297","194",0.221,0.208,0.013000000000000012,0.347,0.321,0.025999999999999968,0.279,0.265,0.014000000000000012,"2.77","2.75","0.022"
"Valdez, Framber","664285","2026","295","211",0.243,0.257,-0.014000000000000012,0.373,0.418,-0.044999999999999984,0.311,0.329,-0.018000000000000016,"4.39","4.36","0.029"
"Elder, Bryce","693821","2026","293","208",0.211,0.233,-0.02200000000000002,0.305,0.343,-0.038000000000000034,0.264,0.284,-0.019999999999999962,"2.50","3.17","-0.67"
"Bibee, Tanner","676440","2026","290","207",0.258,0.258,0,0.447,0.454,-0.007000000000000006,0.334,0.334,0,"4.57","4.51","0.055"
"Soriano, José","667755","2026","289","179",0.2,0.23,-0.03,0.286,0.369,-0.08300000000000002,0.265,0.308,-0.04299999999999998,"2.65","3.77","-1.12"
"Detmers, Reid","672282","2026","288","179",0.227,0.206,0.02100000000000002,0.363,0.326,0.03699999999999998,0.292,0.272,0.019999999999999962,"4.63","2.90","1.732"
"Kochanowicz, Jack","686799","2026","288","202",0.242,0.268,-0.026000000000000023,0.352,0.43,-0.07800000000000001,0.317,0.354,-0.03699999999999998,"5.23","5.15","0.08"
"Leiter, Jack","683004","2026","287","181",0.235,0.248,-0.013000000000000012,0.384,0.422,-0.03799999999999998,0.318,0.332,-0.014000000000000012,"4.34","4.45","-0.108"
"Luzardo, Jesús","666200","2026","285","184",0.267,0.228,0.03900000000000001,0.388,0.336,0.05199999999999999,0.317,0.283,0.03400000000000003,"4.30","3.15","1.149"
"Peralta, Freddy","642547","2026","285","187",0.229,0.233,-0.0040000000000000036,0.379,0.365,0.014000000000000012,0.31,0.304,0.006000000000000005,"3.54","3.66","-0.115"
"Imanaga, Shota","684007","2026","284","194",0.218,0.23,-0.01200000000000001,0.424,0.415,0.009000000000000008,0.306,0.306,0,"4.37","3.72","0.651"
"Eovaldi, Nathan","543135","2026","283","195",0.23,0.249,-0.01899999999999999,0.41,0.433,-0.02300000000000002,0.308,0.323,-0.015000000000000013,"3.93","4.18","-0.248"
"Bradish, Kyle","680694","2026","281","182",0.244,0.227,0.016999999999999987,0.402,0.394,0.008000000000000007,0.329,0.316,0.013000000000000012,"3.44","3.98","-0.536"
"Ober, Bailey","641927","2026","281","214",0.243,0.245,-0.0020000000000000018,0.444,0.446,-0.0020000000000000018,0.326,0.323,0.0030000000000000027,"4.59","4.18","0.41"
"Keller, Mitch","656605","2026","280","206",0.234,0.277,-0.04300000000000001,0.344,0.41,-0.066,0.289,0.328,-0.039000000000000035,"4.35","4.33","0.016"
"Griffin, Foster","656492","2026","280","188",0.223,0.246,-0.022999999999999993,0.418,0.442,-0.02400000000000002,0.317,0.331,-0.014000000000000012,"3.76","4.42","-0.659"
"Gausman, Kevin","592332","2026","280","201",0.24,0.245,-0.0050000000000000044,0.355,0.391,-0.03600000000000003,0.279,0.295,-0.01599999999999996,"3.13","3.43","-0.3"
"Woo, Bryan","693433","2026","279","195",0.208,0.221,-0.013000000000000012,0.319,0.36,-0.04099999999999998,0.253,0.272,-0.019000000000000017,"3.44","2.90","0.539"
"Lorenzen, Michael","547179","2026","279","213",0.353,0.313,0.03999999999999998,0.556,0.489,0.06700000000000006,0.417,0.374,0.04299999999999998,"7.22","5.86","1.361"
"Baz, Shane","669358","2026","279","193",0.267,0.262,0.0050000000000000044,0.444,0.42,0.02400000000000002,0.34,0.332,0.008000000000000007,"4.48","4.45","0.027"
"Nelson, Ryne","669194","2026","278","204",0.232,0.255,-0.022999999999999993,0.469,0.513,-0.04400000000000004,0.328,0.35,-0.021999999999999964,"4.82","5.01","-0.189"
"Meyer, Max","676974","2026","277","174",0.195,0.234,-0.03900000000000001,0.309,0.39,-0.08100000000000002,0.269,0.312,-0.04299999999999998,"2.97","3.88","-0.91"
"Springs, Jeffrey","605488","2026","277","198",0.234,0.236,-0.001999999999999974,0.429,0.407,0.02200000000000002,0.316,0.311,0.0050000000000000044,"4.07","3.85","0.22"
"McLean, Nolan","690997","2026","276","167",0.206,0.214,-0.008000000000000007,0.35,0.34,0.009999999999999953,0.294,0.291,0.0030000000000000027,"4.21","3.34","0.866"
"Gilbert, Logan","669302","2026","276","188",0.234,0.252,-0.017999999999999988,0.434,0.422,0.01200000000000001,0.316,0.315,0.0010000000000000009,"3.69","3.96","-0.272"
"Burrows, Mike","681347","2026","275","197",0.283,0.251,0.03199999999999997,0.49,0.414,0.07600000000000001,0.367,0.32,0.046999999999999986,"5.40","4.10","1.3"
"Schlittler, Cam","693645","2026","275","181",0.185,0.213,-0.027999999999999997,0.258,0.329,-0.07100000000000001,0.218,0.255,-0.037000000000000005,"1.50","2.54","-1.04"
"Misiorowski, Jacob","694819","2026","273","140",0.15,0.182,-0.032,0.211,0.257,-0.04600000000000001,0.208,0.236,-0.027999999999999997,"1.65","2.18","-0.532"
"King, Michael","650633","2026","273","173",0.203,0.229,-0.025999999999999995,0.312,0.376,-0.064,0.284,0.315,-0.031000000000000028,"3.18","3.96","-0.784"
"Rodriguez, Eduardo","593958","2026","272","198",0.223,0.26,-0.037000000000000005,0.348,0.429,-0.08100000000000002,0.29,0.332,-0.04200000000000004,"2.31","4.45","-2.143"
"Cecconi, Slade","677944","2026","272","199",0.294,0.27,0.023999999999999966,0.453,0.445,0.008000000000000007,0.353,0.337,0.01599999999999996,"5.25","4.60","0.654"
"Messick, Parker","800048","2026","272","176",0.214,0.234,-0.020000000000000018,0.331,0.345,-0.013999999999999957,0.272,0.286,-0.013999999999999957,"2.21","3.22","-1.013"
"Warren, Will","701542","2026","271","181",0.234,0.23,0.0040000000000000036,0.363,0.365,-0.0020000000000000018,0.291,0.29,0.0010000000000000009,"3.22","3.31","-0.092"
"Severino, Luis","622663","2026","271","173",0.258,0.231,0.026999999999999996,0.432,0.388,0.043999999999999984,0.349,0.318,0.030999999999999972,"4.17","4.04","0.125"
"Abbott, Andrew","671096","2026","271","201",0.257,0.278,-0.02100000000000002,0.398,0.444,-0.045999999999999985,0.325,0.348,-0.022999999999999965,"3.88","4.95","-1.072"
"Yamamoto, Yoshinobu","808967","2026","270","183",0.215,0.246,-0.031,0.363,0.396,-0.03300000000000003,0.28,0.303,-0.022999999999999965,"2.86","3.64","-0.784"
"Burke, Sean","680732","2026","270","187",0.228,0.243,-0.014999999999999986,0.366,0.373,-0.007000000000000006,0.296,0.302,-0.006000000000000005,"3.72","3.61","0.109"
"Martinez, Nick","607259","2026","269","214",0.245,0.274,-0.029000000000000026,0.356,0.428,-0.07200000000000001,0.285,0.321,-0.03600000000000003,"1.62","4.12","-2.5"
"Ray, Robbie","592662","2026","269","179",0.247,0.242,0.0050000000000000044,0.472,0.486,-0.014000000000000012,0.349,0.354,-0.0050000000000000044,"4.45","5.15","-0.698"
"Liberatore, Matthew","669461","2026","268","188",0.29,0.286,0.0040000000000000036,0.452,0.474,-0.021999999999999964,0.353,0.355,-0.0020000000000000018,"4.36","5.18","-0.825"
"Cavalli, Cade","676917","2026","268","169",0.269,0.242,0.027000000000000024,0.355,0.369,-0.014000000000000012,0.322,0.315,0.007000000000000006,"3.62","3.96","-0.34"
"Peterson, David","656849","2026","266","183",0.286,0.265,0.020999999999999963,0.397,0.382,0.015000000000000013,0.336,0.329,0.007000000000000006,"5.18","4.36","0.82"
"Pérez, Eury","691587","2026","265","160",0.221,0.232,-0.01100000000000001,0.437,0.46,-0.02300000000000002,0.334,0.346,-0.011999999999999955,"4.60","4.88","-0.284"
"Sale, Chris","519242","2026","265","162",0.192,0.222,-0.03,0.296,0.34,-0.04400000000000004,0.255,0.284,-0.02899999999999997,"2.02","3.17","-1.155"
"Martin, Davis","663436","2026","263","175",0.215,0.244,-0.028999999999999998,0.321,0.369,-0.04799999999999999,0.265,0.292,-0.02699999999999997,"2.00","3.36","-1.365"
