"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Crow-Armstrong, Pete",691718,24.13400006207554,24.13400006207554,20.362798261267415,3.7712018008081163,,,,,,,3251,0,0,0,0,0,0,3251,0
"Wetherholt, JJ",802139,21.52262773057133,21.52262773057133,16.69112435470019,0.44293463694438395,4.388568738926753,,,,,,3193,0,0,3100,0,93,0,0,0
"Witt Jr., Bobby",677951,17.684312105274586,17.684312105274586,17.787717868956125,0.23664823017460893,-0.3400539938561453,,,,,,2748,0,0,0,0,2748,0,0,0
"Winn, Masyn",691026,15.132524603491898,15.132524603491898,11.413767198672822,-0.12215027829572024,3.840907683114794,,,,,,3106,0,0,0,0,3106,0,0,0
"Giménez, Andrés",665926,14.008680899013944,14.008680899013944,12.984437690938025,0.8119369665375546,0.21230624153837008,,,,,,2929,0,0,0,0,2929,0,0,0
"Rafaela, Ceddanne",678882,13.470279343174857,13.470279343174857,12.262891941522403,1.2073874016524553,,,,,,,3148,0,0,0,0,0,0,3148,0
"Pages, Andy",681624,12.223508341225138,12.223508341225138,7.706347379107261,4.5171609621178686,,,,,,,3278,0,0,0,0,0,0,3278,0
"Swanson, Dansby",621020,11.276805590001583,11.276805590001583,11.977357661128083,0.1121312091000398,-0.8126832802265416,,,,,,3071,0,0,0,0,3071,0,0,0
"Rocchio, Brayan",677587,11.235789717695486,11.235789717695486,9.955231007599386,1.1357056767245672,0.1448530333715277,,,,,,3215,0,0,249,0,2966,0,0,0
"Valenzuela, Brandon",678218,11.014527502735717,-0.28165272200346464,-0.29830184481440825,,,0.016649122810943606,11.296180224739183,7.8367278724528235,3.667631399226869,-0.2081790469405128,1596,1587,9,0,0,0,0,0,0
"Turang, Brice",668930,10.883072302673789,10.883072302673789,7.940753255951193,0.029343498654066415,2.912975548068533,,,,,,3115,0,0,3079,0,36,0,0,0
"Dingler, Dillon",693307,10.583913357639378,,,,,,10.583913357639378,6.774372131871915,1.4325022092838953,2.3770390164835726,2363,2363,0,0,0,0,0,0,0
"Duran, Ezequiel",677649,10.533601240565769,10.533601240565769,10.533615884252738,-0.05830227216583523,0.05598239255718465,0.002305235921680804,,,,,2923,0,30,513,766,1137,264,6,207
"Lopez, Otto",672640,10.282710119457958,10.282710119457958,7.513400828877267,0.6998039149375179,2.06950537564318,,,,,,3185,0,0,0,0,3185,0,0,0
"Harris II, Michael",671739,10.030186838546765,10.030186838546765,8.735139631443143,1.2950472071036243,,,,,,,2904,0,0,0,0,0,48,2856,0
"Peters, Tristan",671976,9.56145613080473,9.56145613080473,9.50974607451459,0.051710056290144246,,,,,,,2590,0,0,0,0,0,114,2272,204
"Young, Jacob",696285,9.502887399023397,9.502887399023397,10.743407511739912,-1.2405201127165177,,,,,,,2619,0,0,0,0,0,0,2619,0
"Ortiz, Joey",687401,9.449578952057864,9.449578952057864,8.708587474714525,-0.2095941306756479,0.9505856080189823,,,,,,2215,0,0,6,687,1522,0,0,0
"Rutschman, Adley",668939,9.395249377509202,,,,,,9.395249377509202,5.309210015053538,3.3129473304068164,0.7730920320488482,1460,1460,0,0,0,0,0,0,0
"Merrill, Jackson",701538,9.272074881170145,9.272074881170145,3.986887098269445,5.2851877829006995,,,,,,,3234,0,0,0,0,0,0,3234,0
"Arraez, Luis",650333,9.178756431167592,9.178756431167592,8.113563223612584,0.3183966772889206,0.7467965302660888,,,,,,3077,0,0,3071,6,0,0,0,0
"Torrens, Luis",620443,9.169575527399724,0.009031001750804513,,,,0.009031001750804513,9.16054452564892,5.41443123413277,2.488515288815078,1.257598002701077,1667,1651,9,0,0,0,0,0,0
"Meidroth, Chase",805367,8.398478611756136,8.398478611756136,5.404856790748878,-0.009546492548907933,3.003168313556163,,,,,,3177,0,0,3033,18,126,0,0,0
"Mack, Joe",691788,8.360756815761311,,,,,,8.360756815761311,4.261004381329498,3.2402590877510713,0.8594933466807458,1771,1771,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,8.303721415906343,,,,,,8.303721415906343,5.40986073280556,-0.30795869483085364,3.201819377931637,1181,1181,0,0,0,0,0,0,0
"Hoerner, Nico",663538,8.101912298280698,8.101912298280698,6.853385810568859,0.05082969618291913,1.1976967915289198,,,,,,3248,0,0,2885,0,363,0,0,0
"Mullins, Cedric",656775,8.08671950019469,8.08671950019469,8.43559666402188,-0.34887716382719314,,,,,,,2667,0,0,0,0,0,0,2667,0
"Lowe, Brandon",664040,7.991319002469119,7.991319002469119,6.911460322281696,,1.0798586801874213,,,,,,2843,0,0,2843,0,0,0,0,0
"Bellinger, Cody",641355,7.77881013928254,7.77881013928254,5.534625584317775,2.1940310553160334,,0.05015349964873561,,,,,2657,0,38,0,0,0,2250,321,48
"Wilson, Jacob",805779,7.732487811500871,7.732487811500871,6.871913133869279,0.22783922708491183,0.6327354505466828,,,,,,1912,0,0,0,0,1912,0,0,0
"Nuñez, Nasim",683083,7.715688253116311,7.715688253116311,3.6205057424456144,0.1880066559024312,3.9071758547682744,,,,,,2865,0,0,2514,0,351,0,0,0
"Perdomo, Geraldo",672695,7.691965826393866,7.691965826393866,7.346640362524749,0.39423302164448026,-0.04890755777536626,,,,,,3222,0,0,0,0,3222,0,0,0
"Kwan, Steven",680757,7.424641415738228,7.424641415738228,7.127870416617256,0.29677099912097216,,,,,,,2951,0,0,0,0,0,1508,1443,0
"Fermin, Freddy",666023,7.403713390083739,,,,,,7.403713390083739,2.1935069573195456,3.6339473383234835,1.5762590944407049,1603,1603,0,0,0,0,0,0,0
"Betts, Mookie",605141,7.000616697248068,7.000616697248068,5.845361214577471,0.2476686777382327,0.907586804932365,,,,,,2318,0,0,0,0,2318,0,0,0
"Suzuki, Seiya",673548,6.813274964701364,6.813274964701364,3.6053320053497706,3.2079429593515916,,,,,,,2196,0,0,0,0,0,0,0,2196
"France, Ty",664034,6.67175834500385,6.67175834500385,4.249672466679562,,0.43855938780991555,1.9835264905143744,,,,,2274,0,2256,0,18,0,0,0,0
"Montgomery, Colson",695657,6.573487991634298,6.573487991634298,5.8481067536279365,-0.10576576577393935,0.8311470037803017,,,,,,2925,0,0,0,698,2227,0,0,0
"Carter, Evan",694497,6.3948529416251825,6.3948529416251825,7.862242933882587,-1.4673899922574045,,,,,,,2390,0,0,0,0,0,0,2390,0
"Moreno, Gabriel",672515,6.3701507247707525,,,,,,6.3701507247707525,3.5778718621719605,1.7887188852439466,1.0035599773548467,2037,2034,0,0,3,0,0,0,0
"Rumfield, TJ",681198,6.316859858661053,6.316859858661053,4.551704817915129,-0.08346450386534698,0.6228905686617543,1.225728975949516,,,,,2680,0,2680,0,0,0,0,0,0
"Lukes, Nathan",664770,6.190552318623657,6.190552318623657,1.641461394090043,4.549090924533614,,,,,,,2031,0,0,0,0,0,240,177,1614
"Mesa Jr., Victor",683748,6.180623021509703,6.180623021509703,5.4202590055533,0.7603640159563996,,,,,,,1207,0,0,0,0,0,78,51,1078
"Bailey, Patrick",672275,6.13379485609328,,,,,,6.13379485609328,4.618253365563724,2.8306282049582716,-1.3150867144287164,1956,1956,0,0,0,0,0,0,0
"Heineman, Tyler",623168,6.05627680200592,,,,,,6.05627680200592,3.8587343888356544,2.130867696228805,0.0666747169414578,1171,1155,0,0,0,0,0,0,0
"Olson, Matt",621566,5.963424677824543,5.963424677824543,4.757346290991826,,1.578357255491742,-0.37227886865903026,,,,,3366,0,3363,0,0,0,0,0,3
"Cowser, Colton",681297,5.939926859808843,5.939926859808843,6.634758516405856,-0.6948316565970161,,,,,,,1978,0,0,0,0,0,161,1321,496
"Wells, Austin",669224,5.856676509337185,,,,,,5.856676509337185,5.26441883908482,-1.2035429732861709,1.7958006435385327,2154,2154,0,0,0,0,0,0,0
"McKinstry, Zach",656716,5.665570231364274,5.665570231364274,4.9246955135792145,0.25820252266957855,0.48267219511547854,,,,,,2339,0,0,746,121,573,39,72,785
"Stott, Bryson",681082,5.623370488563755,5.623370488563755,7.009664630128427,0.2099967450120878,-1.596290886576759,,,,,,3121,0,0,2707,414,0,0,0,0
"Goldschmidt, Paul",502671,5.545067239187923,5.545067239187923,3.208135991203166,,0.7395018365911613,1.597429411393592,,,,,1624,0,1624,0,0,0,0,0,0
"Freeman, Freddie",518692,5.376102123003793,5.376102123003793,1.4009110499493187,,-0.16437977991204686,4.139570852966521,,,,,3161,0,3161,0,0,0,0,0,0
"Bregman, Alex",608324,5.294035376202724,5.294035376202724,4.572000686976469,,0.7220346892262555,,,,,,3050,0,0,0,3050,0,0,0,0
"Matthews, Brice",694728,5.290724744666517,5.290724744666517,4.424675387713375,0.651268187276548,0.21478116967659436,,,,,,1551,0,0,327,27,0,429,768,0
"Volpe, Anthony",683011,5.168668069961083,5.168668069961083,4.1216282150222145,,1.0470398549388693,,,,,,1337,0,0,0,0,1337,0,0,0
"Ewing, A.J.",805999,5.116973975134997,5.116973975134997,3.986176385695365,1.1307975894396292,,,,,,,2180,0,0,30,0,0,399,1700,51
"Schanuel, Nolan",694384,5.076776205365714,5.076776205365714,3.116569106898845,,0.0999121366711595,1.8602949617957107,,,,,2674,0,2674,0,0,0,0,0,0
"Chapman, Matt",656305,5.069029113657012,5.069029113657012,2.8622679224807213,,2.2067611911762923,,,,,,2156,0,0,0,2156,0,0,0,0
"Pagés, Pedro",686780,5.032155120447115,0.057354144336344344,0.05660035260046748,,,0.0007537917358768631,4.97480097611077,3.1913486107330358,1.8284080712414488,-0.044955705863716555,1409,1397,12,0,0,0,0,0,0
"Abreu, Wilyer",677800,5.026210476462692,5.026210476462692,3.2158342321990974,1.8103762442635936,,,,,,,3244,0,0,0,0,0,0,0,3244
"Benge, Carson",701807,4.94271131053417,4.94271131053417,0.12090686628525954,4.821804444248908,,,,,,,3108,0,0,0,0,0,351,243,2514
