"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Semien, Marcus","543760","2023","753","565",0.276,0.258,0.018000000000000016,0.478,0.434,0.043999999999999984,0.354,0.335,0.01899999999999996
"Acuña Jr., Ronald","660670","2023","735","562",0.337,0.351,-0.013999999999999957,0.596,0.668,-0.07200000000000006,0.428,0.461,-0.03300000000000003
"Freeman, Freddie","518692","2023","730","521",0.331,0.315,0.016000000000000014,0.567,0.567,0,0.411,0.406,0.004999999999999949
"Lowe, Nathaniel","663993","2023","724","461",0.262,0.259,0.0030000000000000027,0.414,0.408,0.006000000000000005,0.34,0.339,0.0010000000000000009
"Bregman, Alex","608324","2023","724","537",0.262,0.263,-0.0010000000000000009,0.441,0.44,0.0010000000000000009,0.351,0.353,-0.0020000000000000018
"Schwarber, Kyle","656941","2023","720","373",0.197,0.215,-0.017999999999999988,0.474,0.489,-0.015000000000000013,0.35,0.363,-0.013000000000000012
"Olson, Matt","621566","2023","720","445",0.283,0.262,0.020999999999999963,0.604,0.571,0.03300000000000003,0.413,0.395,0.01799999999999996
"Kwan, Steven","680757","2023","718","570",0.268,0.281,-0.013000000000000012,0.37,0.362,0.008000000000000007,0.313,0.319,-0.006000000000000005
"Riley, Austin","663586","2023","715","475",0.281,0.268,0.013000000000000012,0.516,0.524,-0.008000000000000007,0.363,0.366,-0.0030000000000000027
"Rodríguez, Julio","677594","2023","714","481",0.275,0.268,0.007000000000000006,0.485,0.475,0.010000000000000009,0.347,0.343,0.003999999999999948
"Soto, Juan","665742","2023","708","445",0.275,0.279,-0.0040000000000000036,0.519,0.539,-0.020000000000000018,0.395,0.407,-0.011999999999999955
"Witt Jr., Bobby","677951","2023","694","529",0.276,0.289,-0.012999999999999956,0.495,0.534,-0.039000000000000035,0.343,0.368,-0.024999999999999967
"Suárez, Eugenio","553993","2023","694","395",0.232,0.218,0.014000000000000012,0.391,0.421,-0.02999999999999997,0.313,0.323,-0.010000000000000009
"Betts, Mookie","605141","2023","693","482",0.307,0.288,0.019000000000000017,0.579,0.572,0.007000000000000006,0.416,0.408,0.008000000000000007
"Happ, Ian","664023","2023","691","433",0.248,0.249,-0.0010000000000000009,0.431,0.427,0.0040000000000000036,0.345,0.349,-0.0040000000000000036
"Turner, Trea","607208","2023","691","490",0.266,0.263,0.0030000000000000027,0.459,0.453,0.006000000000000005,0.333,0.331,0.0020000000000000018
"Ramírez, José","608070","2023","691","544",0.282,0.296,-0.014000000000000012,0.475,0.485,-0.010000000000000009,0.346,0.36,-0.014000000000000012
"Hoerner, Nico","663538","2023","688","542",0.283,0.272,0.010999999999999954,0.383,0.361,0.02200000000000002,0.322,0.313,0.009000000000000008
"Rutschman, Adley","668939","2023","687","492",0.277,0.289,-0.011999999999999955,0.435,0.473,-0.03799999999999998,0.352,0.374,-0.02200000000000002
"Lindor, Francisco","596019","2023","687","472",0.254,0.25,0.0040000000000000036,0.47,0.462,0.007999999999999952,0.346,0.346,0
"Goldschmidt, Paul","502671","2023","687","435",0.268,0.264,0.0040000000000000036,0.447,0.491,-0.043999999999999984,0.35,0.365,-0.015000000000000013
"Torkelson, Spencer","679529","2023","684","440",0.233,0.245,-0.011999999999999983,0.446,0.488,-0.04199999999999998,0.326,0.348,-0.021999999999999964
"Springer, George","543807","2023","683","491",0.258,0.258,0,0.405,0.421,-0.01599999999999996,0.32,0.33,-0.010000000000000009
"Nimmo, Brandon","607043","2023","682","451",0.274,0.257,0.017000000000000015,0.466,0.457,0.009000000000000008,0.359,0.352,0.007000000000000006
"Guerrero Jr., Vladimir","665489","2023","682","506",0.264,0.295,-0.030999999999999972,0.444,0.509,-0.065,0.34,0.38,-0.03999999999999998
"Thomas, Lane","657041","2023","682","459",0.268,0.25,0.018000000000000016,0.468,0.439,0.029000000000000026,0.334,0.319,0.015000000000000013
"Hernández, Teoscar","606192","2023","678","421",0.258,0.251,0.007000000000000006,0.435,0.478,-0.04299999999999998,0.317,0.334,-0.017000000000000015
"Tucker, Kyle","663656","2023","674","492",0.284,0.287,-0.0030000000000000027,0.517,0.533,-0.016000000000000014,0.372,0.386,-0.014000000000000012
"Torres, Gleyber","650402","2023","672","504",0.273,0.28,-0.007000000000000006,0.453,0.484,-0.030999999999999972,0.346,0.363,-0.017000000000000015
