"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Mikolas, Miles","571945","2023","860","674",0.282,0.286,-0.0040000000000000036,0.454,0.506,-0.05199999999999999,0.33,0.355,-0.024999999999999967,"4.78","5.48","-0.697"
"Webb, Logan","657277","2023","850","619",0.248,0.251,-0.0030000000000000027,0.374,0.397,-0.02300000000000002,0.283,0.296,-0.013000000000000012,"3.25","3.66","-0.41"
"Gallen, Zac","668678","2023","846","574",0.238,0.25,-0.01200000000000001,0.382,0.435,-0.05299999999999999,0.289,0.315,-0.026000000000000023,"3.47","4.18","-0.709"
"Bassitt, Chris","605135","2023","826","569",0.235,0.238,-0.0030000000000000027,0.403,0.409,-0.00599999999999995,0.304,0.31,-0.006000000000000005,"3.60","4.04","-0.44"
"Keller, Mitch","656605","2023","825","548",0.249,0.248,0.0010000000000000009,0.404,0.406,-0.0020000000000000018,0.31,0.315,-0.0050000000000000044,"4.21","4.18","0.034"
"Cole, Gerrit","543037","2023","821","543",0.206,0.229,-0.02300000000000002,0.322,0.38,-0.057999999999999996,0.256,0.288,-0.03199999999999997,"2.63","3.45","-0.823"
"Valdez, Framber","664285","2023","808","540",0.228,0.248,-0.01999999999999999,0.365,0.411,-0.045999999999999985,0.287,0.319,-0.03200000000000003,"3.46","4.30","-0.845"
"Lynn, Lance","458681","2023","808","540",0.259,0.247,0.01200000000000001,0.484,0.461,0.022999999999999965,0.347,0.336,0.010999999999999954,"5.73","4.83","0.903"
"Gibson, Kyle","502043","2023","807","589",0.27,0.264,0.006000000000000005,0.437,0.445,-0.008000000000000007,0.326,0.333,-0.007000000000000006,"4.73","4.73","0.004"
"Castillo, Luis","622491","2023","802","522",0.218,0.226,-0.008000000000000007,0.395,0.414,-0.01899999999999996,0.289,0.302,-0.013000000000000012,"3.33","3.82","-0.485"
"López, Pablo","641154","2023","801","509",0.238,0.213,0.024999999999999994,0.385,0.343,0.04199999999999998,0.294,0.27,0.023999999999999966,"3.67","3.02","0.645"
"Giolito, Lucas","608337","2023","794","507",0.24,0.236,0.0040000000000000036,0.482,0.449,0.032999999999999974,0.339,0.329,0.010000000000000009,"4.88","4.61","0.272"
"Nola, Aaron","605400","2023","793","545",0.24,0.235,0.0050000000000000044,0.425,0.408,0.017000000000000015,0.303,0.297,0.006000000000000005,"4.46","3.69","0.771"
