"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Trevino, Jose",624431,22.96633664951427,,,,,22.96633664951427,18.751152903416656,0.528907696459173,3.6862760496384315,2461,2461,0,0,0,0,0,0,0
"Schoop, Jonathan",570731,22.875654126264536,22.875654126264536,20.194222906358746,0.22282245945616053,2.458608760449629,,,,,3348,0,30,3318,0,0,0,0,0
"Swanson, Dansby",621020,17.97504907856917,17.97504907856917,15.129741256142319,0.22778443524215733,2.617523387184696,,,,,4299,0,0,0,0,4299,0,0,0
"Edman, Tommy",669242,16.53238198271604,16.53238198271604,14.560662947194498,-0.17319293991279244,2.144911975434329,,,,,3812,0,0,1844,78,1866,0,15,9
"Varsho, Daulton",662139,16.20650802019573,19.01892579288371,15.437409320858833,3.5815164720248776,,-2.812417772687975,-2.066871133651232,0.27030331236313043,-1.0158499513998738,3286,525,0,0,0,0,0,1136,1625
"Straw, Myles",664702,15.200527168448964,15.200527168448964,11.559731490911826,3.6407956775371373,,,,,,3927,0,0,0,0,0,0,3927,0
"Rutschman, Adley",668939,14.830659012623423,0.0064371478554162654,,0.0064371478554162654,,14.824221864768006,8.661524901859917,1.7139094368908323,4.448787526017256,2286,2286,0,0,0,0,0,0,0
"Heim, Jonah",641680,14.448789935558851,,,,,14.448789935558851,15.61351394203518,-0.3594723398564481,-0.8052516666198809,2702,2702,0,0,0,0,0,0,0
"Siri, Jose",642350,14.256645661926013,14.256645661926013,12.865702162960295,1.3909434989657126,,,,,,2358,0,0,0,0,0,27,2250,81
"Realmuto, J.T.",592663,13.665444796298278,-1.4263419865214622,-1.4263419865214622,,,15.091786782819739,2.409618000727805,9.197077786637632,3.485090995454293,3413,3395,18,0,0,0,0,0,0
"Hayes, Ke'Bryan",663647,13.631825448006975,13.631825448006975,13.62690608417402,,0.004919363832958837,,,,,3323,0,0,0,3308,15,0,0,0
"Murphy, Sean",669221,12.830890371528833,,,,,12.830890371528833,9.05174223010831,0.8920708683724943,2.8870772730480283,3012,3012,0,0,0,0,0,0,0
"Arenado, Nolan",571448,12.744792756705595,12.744792756705595,10.855855696757391,0.0018051904151481545,1.8871318695330568,,,,,3356,0,0,0,3356,0,0,0,0
"Nido, Tomás",621512,11.776088601763583,,,,,11.776088601763583,8.00264461661163,0.7955776698940282,2.9778663152579345,2299,2299,0,0,0,0,0,0,0
"Lopez, Nicky",670032,11.171834742066514,11.171834742066514,10.170901344124648,-0.053065045389985424,1.0539984433318532,,,,,3361,0,0,1611,529,1218,0,0,0
"Mateo, Jorge",622761,11.03430047314642,11.03430047314642,7.654333825395292,1.1672148330020589,2.2127518147490712,,,,,3772,0,0,0,0,3772,0,0,0
"Kirk, Alejandro",672386,10.820274585980648,,,,,10.820274585980648,7.6976951983322675,0.1189634610924486,3.0036159265559315,1962,1962,0,0,0,0,0,0,0
"Walker, Christian",572233,10.517085123401145,10.517085123401145,10.742967517186141,,-0.22588239378499472,,,,,3876,0,3876,0,0,0,0,0,0
"Taylor, Michael A.",572191,10.409221035005496,10.409221035005496,4.6608405588310005,5.748380476174496,,,,,,3036,0,0,0,0,0,0,3030,0
"Giménez, Andrés",665926,10.325611005107147,10.325611005107147,9.45439167132387,0.00010663393926813574,0.8711126998440073,,,,,3609,0,0,3219,0,390,0,0,0
"Mullins, Cedric",656775,10.048030102596634,10.048030102596634,8.991582101801296,1.0564480007953385,,,,,,3779,0,0,0,0,0,0,3779,0
"Hoerner, Nico",663538,9.794263815955789,9.794263815955789,9.464735613193115,0.08901362015338914,0.24051458260928307,,,,,3356,0,0,0,3,3353,0,0,0
"Phillips, Brett",621433,9.745503356694883,9.745503356694883,9.25945310872597,0.486050247968912,,,,,,1694,0,0,0,0,0,78,862,742
"Adames, Willy",642715,9.68237443144951,9.68237443144951,7.176431240423101,1.0295211051768431,1.4764220858495651,,,,,3599,0,0,0,0,3599,0,0,0
"Raleigh, Cal",663728,9.56942190921477,,,,,9.56942190921477,10.242440489234417,-0.7729854818983761,0.09996690187872695,2751,2751,0,0,0,0,0,0,0
"Grisham, Trent",663757,9.47907133367178,9.47907133367178,11.367987232707872,-1.8889158990360906,,,,,,3429,0,0,0,0,0,0,3429,0
"Rojas, Miguel",500743,9.074031058534942,9.074031058534942,8.353052549398017,0.19095171274157643,0.530026796395348,,,,,3425,0,84,0,0,3341,0,0,0
"Isbel, Kyle",664728,8.768616098422186,8.768616098422186,10.603865153149785,-1.8352490547276048,,,,,,1968,0,0,0,0,0,517,615,836
"Bradley Jr., Jackie",598265,8.633706985654506,8.633706985654506,6.480109315193926,2.153597670460576,,,,,,2765,0,0,0,0,0,0,920,1842
"Lindor, Francisco",596019,8.57479323591721,8.57479323591721,8.494596195722895,0.22082531642659683,-0.14062827623227658,,,,,4136,0,0,0,0,4136,0,0,0
"Tucker, Kyle",663656,8.203765872346157,8.203765872346157,3.2447143388666913,4.959051533479462,,,,,,3829,0,0,0,0,0,0,0,3829
"Kepler, Max",596146,8.02855701051954,8.02855701051954,9.945699789749867,-1.91714277923033,,,,,,2701,0,0,0,0,0,0,27,2674
"Molina, Yadier",425877,8.014444028834935,,,,,8.014444028834935,6.6382626279285475,0.03577045254963784,1.340410948356746,1894,1885,3,0,0,0,0,0,0
"Story, Trevor",596115,8.004577942646371,8.004577942646371,7.466367760638124,0.4493821885667472,0.08882799344149872,,,,,2441,0,0,2441,0,0,0,0,0
"Peña, Jeremy",665161,7.9236503119303965,7.9236503119303965,4.68966202700787,-0.09613816433651746,3.330126449259046,,,,,3495,0,0,0,0,3495,0,0,0
"Harris II, Michael",671739,7.872816484249032,7.872816484249032,5.2706599938375325,2.602156490411496,,,,,,3063,0,0,0,0,0,0,3063,0
"Higashioka, Kyle",543309,7.617193536122101,,,,,7.617193536122101,4.943759827473211,2.0691428065788653,0.6042909020700283,1867,1867,0,0,0,0,0,0,0
"d'Arnaud, Travis",518595,7.396801831731221,,,,,7.396801831731221,8.05187801958747,-1.1370450117650184,0.48196882390876555,2629,2629,0,0,0,0,0,0,0
"McMahon, Ryan",641857,7.235476804464993,7.235476804464993,7.178827958919447,,0.05664884554554862,,,,,3775,0,3,243,3529,0,0,0,0
"McCormick, Chas",676801,7.064378743296825,7.064378743296825,6.765793528853211,0.29858521444361713,,,,,,2744,0,0,0,0,0,1020,1367,357
"Allen, Nick",669397,7.060331420480321,7.060331420480321,6.267499348188709,0.012693633928057767,0.7801384383635546,,,,,2427,0,0,922,0,1505,0,0,0
"LeMahieu, DJ",518934,6.81665835365981,6.81665835365981,7.010467004674728,-0.15131459514165238,-0.04249405587326567,,,,,2890,0,795,938,1157,0,0,0,0
"Thomas, Alek",677950,6.723145971372656,6.723145971372656,5.904715401088242,0.8184305702844155,,,,,,2722,0,0,0,0,0,0,2722,0
"Nootbaar, Lars",663457,6.720570878857496,6.720570878857496,1.3178174853342934,5.402753393523202,,,,,,2133,0,0,0,0,0,138,240,1755
"Narváez, Omar",553882,6.577393344977948,,,,,6.577393344977948,6.816535753909071,0.021350982189980508,-0.26049339112110187,2043,2043,0,0,0,0,0,0,0
"Aquino, Aristides",606157,6.492840634911999,6.492840634911999,1.4985446515960543,4.994295983315944,,,,,,1825,0,0,0,0,0,108,33,1684
"Machado, Manny",592518,6.479420298676223,6.479420298676223,6.042222819444185,,0.43719747923203583,,,,,3429,0,0,0,3429,0,0,0,0
"Fletcher, David",664058,6.463113875858411,6.463113875858411,5.909673799688717,-0.00651869233428616,0.5599587685039793,,,,,1479,0,0,857,0,622,0,0,0
"Dubón, Mauricio",643289,6.323472648841335,6.323472648841335,4.821695893788126,1.023707219664156,0.4780695353890519,,,,,1843,0,0,195,60,433,141,978,36
"Almora Jr., Albert",546991,6.298551474016549,6.298551474016549,4.940924134977924,1.3576273390386229,,,,,,1569,0,0,0,0,0,393,505,671
"Espinal, Santiago",669289,6.222018559503938,6.222018559503938,6.860599335288258,0.09347545823633477,-0.7320562340206561,,,,,3234,0,0,2835,249,150,0,0,0
"Robles, Victor",645302,6.196926897598245,6.196926897598245,4.860118097469684,1.3368088001285587,,,,,,2915,0,0,0,0,0,0,2915,0
"Guillorme, Luis",641645,6.038969959812493,6.038969959812493,4.7702551264812305,0.2694255632741721,0.9992892700570893,,,,,2264,0,0,1628,480,156,0,0,0
