Rk,Tm,W,L,W-L%,R,RA,Rdiff
1,Milwaukee Brewers,97,65,0.599,5,3.9,1.1
2,Philadelphia Phillies,96,66,0.593,4.8,4,0.8
3,Toronto Blue Jays,94,68,0.58,4.9,4.5,0.5
4,New York Yankees,94,68,0.58,5.2,4.2,1
5,Los Angeles Dodgers,93,69,0.574,5.1,4.2,0.9
6,Chicago Cubs,92,70,0.568,4.9,4,0.9
7,Seattle Mariners,90,72,0.556,4.7,4.3,0.4
8,San Diego Padres,90,72,0.556,4.3,3.8,0.5
9,Boston Red Sox,89,73,0.549,4.9,4.2,0.7
10,Cleveland Guardians,88,74,0.543,4,4,0
11,Houston Astros,87,75,0.537,4.2,4.1,0.1
12,Detroit Tigers,87,75,0.537,4.7,4.3,0.4
13,New York Mets,83,79,0.512,4.7,4.4,0.3
14,Cincinnati Reds,83,79,0.512,4.4,4.2,0.2
15,Kansas City Royals,82,80,0.506,4,3.9,0.1
16,San Francisco Giants,81,81,0.5,4.4,4.2,0.1
17,Texas Rangers,81,81,0.5,4.2,3.7,0.5
18,Arizona Diamondbacks,80,82,0.494,4.9,4.8,0
19,Miami Marlins,79,83,0.488,4.4,4.9,-0.5
20,St. Louis Cardinals,78,84,0.481,4.3,4.7,-0.4
21,Tampa Bay Rays,77,85,0.475,4.4,4.2,0.2
22,Athletics,76,86,0.469,4.5,5,-0.5
23,Atlanta Braves,76,86,0.469,4.5,4.5,-0.1
24,Baltimore Orioles,75,87,0.463,4.2,4.9,-0.7
25,Los Angeles Angels,72,90,0.444,4.2,5.2,-1
26,Pittsburgh Pirates,71,91,0.438,3.6,4,-0.4
27,Minnesota Twins,70,92,0.432,4.2,4.8,-0.6
28,Washington Nationals,66,96,0.407,4.2,5.5,-1.3
29,Chicago White Sox,60,102,0.37,4,4.6,-0.6
30,Colorado Rockies,43,119,0.265,3.7,6.3,-2.6
,Average,81,81,0.5,4.5,4.4,
